Date,total,returns
2023-05-09,11584716.907694057,-0.0012817829272578907
2023-05-10,11569211.492738767,-0.0013384371045780386
2023-05-11,11309123.168173509,-0.022481076150133283
2023-05-12,11227113.969911782,-0.007251596524522785
2023-05-13,11218355.054752644,-0.0007801573211612123
2023-05-14,11279741.085818907,0.005471927993601522
2023-05-15,11389501.164714184,0.009730726801279843
2023-05-16,11324143.476498615,-0.005738415341494774
2023-05-17,11475828.875456072,0.013394867282656264
2023-05-18,11238514.384748593,-0.02067950762275972
2023-05-19,11262773.806532865,0.0021585968530852817
2023-05-20,11363068.988781909,0.008905016115201336
2023-05-21,11205684.200461071,-0.013850552916312875
2023-05-22,11246501.05596356,0.0036425134576618667
2023-05-23,11403336.929362217,0.013945303754316907
2023-05-24,11030185.219708296,-0.03272302765106416
2023-05-25,11089405.04106676,0.005368887301425707
2023-05-26,11191219.35149835,0.009181223884829448
2023-05-27,11253653.311052412,0.005578834405180588
2023-05-28,11763509.377979912,0.0453058267244435
2023-05-29,11621202.161835974,-0.012097343706829689
2023-05-30,11602967.715315271,-0.0015690671469932305
2023-05-31,11400795.232397666,-0.01742420455507676
2023-06-01,11233389.270013185,-0.014683709247646393
2023-06-02,11413331.92566504,0.01601855426947596
2023-06-03,11340259.978558032,-0.0064023326039166495
2023-06-04,11358662.944414008,0.001622799291266075
2023-06-05,10789466.802039279,-0.05011119223804861
2023-06-06,11408805.627208376,0.057402171630208665
2023-06-07,11034867.76667485,-0.03277624957004588
2023-06-08,11102812.144881377,0.0061572444403654725
2023-06-09,11091150.770491399,-0.0010503081775867784
2023-06-10,10827641.339809068,-0.02375852931180167
2023-06-11,10864888.203179821,0.0034399794195076883
2023-06-12,10849111.19395603,-0.0014521096700446101
2023-06-13,10849111.19395603,0.0
2023-06-14,10849111.19395603,0.0
2023-06-15,10849111.19395603,0.0
2023-06-16,10849111.19395603,0.0
2023-06-17,10849111.19395603,0.0
2023-06-18,10849111.19395603,0.0
2023-06-19,10849111.19395603,0.0
2023-06-20,10849111.19395603,0.0
2023-06-21,10849111.19395603,0.0
2023-06-22,10849111.19395603,0.0
2023-06-23,10849111.19395603,0.0
2023-06-24,10849111.19395603,0.0
2023-06-25,10849111.19395603,0.0
2023-06-26,10849111.19395603,0.0
2023-06-27,10849111.19395603,0.0
2023-06-28,10849111.19395603,0.0
2023-06-29,10849111.19395603,0.0
2023-06-30,10849111.19395603,0.0
2023-07-01,10849111.19395603,0.0
2023-07-02,10849111.19395603,0.0
2023-07-03,10849111.19395603,0.0
2023-07-04,10849111.19395603,0.0
2023-07-05,10849111.19395603,0.0
2023-07-06,10849111.19395603,0.0
2023-07-07,10849111.19395603,0.0
2023-07-08,10831331.776200853,-0.0016387902600797366
2023-07-09,10787957.650848081,-0.004004505286051341
2023-07-10,10874928.676771188,0.008061862007427312
2023-07-11,10948757.361567989,0.006788889103658935
2023-07-12,10866767.701246345,-0.007488490028050299
2023-07-13,11254504.126460318,0.03568093437476372
2023-07-14,10846180.19838203,-0.036280934592069936
2023-07-15,10832499.42561704,-0.001261344778969331
2023-07-16,10815810.83823751,-0.001540603578530031
2023-07-17,10778895.099129282,-0.0034131272874815544
2023-07-18,10675444.293945925,-0.009597533349379517
2023-07-19,10695954.279414788,0.0019212301525000086
2023-07-20,10652365.060748508,-0.0040752996439196165
2023-07-21,10694102.242182897,0.0039181140710413676
2023-07-22,10645137.785743663,-0.004578641136054773
2023-07-23,10756959.07292606,0.010504447141318485
2023-07-24,10432431.449331898,-0.03016908602087709
2023-07-25,10450479.035374045,0.0017299501204297574
2023-07-26,10496096.975065457,0.004365152978825115
2023-07-27,10444507.402504548,-0.004915119656712874
2023-07-28,10483322.66697882,0.0037163327075591113
2023-07-29,10496792.536559787,0.001284885528077373
2023-07-30,10467612.474833785,-0.002779902682116364
2023-07-31,10451451.843769228,-0.0015438698273756435
2023-08-01,10610787.104234507,0.015245275282999904
2023-08-02,10423507.87024098,-0.017649890828437043
2023-08-03,10433062.063819228,0.0009166006009861949
2023-08-04,10395665.856530176,-0.0035843942133477746
2023-08-05,10384236.580007877,-0.0010994270766331304
2023-08-06,10384139.508674834,-9.347950838289876e-06
2023-08-07,10433740.864795621,0.004776645775930843
2023-08-08,10642881.401016574,0.020044635853149417
2023-08-09,10569940.32531545,-0.006853508270247
2023-08-10,10522777.6245543,-0.004461964714047806
2023-08-11,10511379.774003131,-0.001083159880198692
2023-08-12,10517905.202319419,0.0006207965516027425
2023-08-13,10470331.868868846,-0.004523080645381872
